[None None],-1,[1.20163196 0.01117519 0.02644237]
[None None],1,[ 0.90651003 -0.07171802 -0.26817653]
[ 0.90444484 -0.0693649  -0.268433  ],1,[ 0.79281106 -0.12109489 -0.43431378]
[ 0.70112231 -0.16796434 -0.68106151],1,[ 0.59589794 -0.28297675 -0.94057899]
[ 0.58986519 -0.28190619 -0.94249634],2,[ 1.61059843 -0.36248377 -0.55147655]
[ 1.61688075 -0.36418124 -0.54742042],2,[ 1.43504778 -0.38791117 -0.49579739]
[ 1.43403804 -0.38445567 -0.49102768],2,[ 1.13981023 -0.35284357 -0.38598132]
[ 1.14031532 -0.3505139  -0.38723895],2,[ 0.87199458 -0.30588379 -0.24584608]
[ 0.77187382 -0.27250982 -0.19050124],2,[ 0.77406457 -0.27165675 -0.18853454]
[ 0.77187382 -0.27250982 -0.19050124],2,[ 0.53975373 -0.17211895 -0.01791903]
[ 0.54062835 -0.1728392  -0.01818236],0,[ 0.35145182 -0.11461426 -0.02143917]
