[None None],-1,[2.05698293 0.0378118  0.02964535]
[None None],-1,[2.01513921 0.04577616 0.02768239]
[2.01638496 0.04196966 0.02799627],0,[1.930841   0.04341407 0.02945125]
[1.92587708 0.04743039 0.03199257],0,[1.73300586 0.04767843 0.04492638]
[1.92587708 0.04743039 0.03199257],0,[1.73352742 0.04457109 0.04639485]
[1.73727298 0.04918518 0.04801608],0,[1.67351061 0.05230199 0.05393891]
[1.67200933 0.05242063 0.05263249],2,[1.57389687 0.08732424 0.15918093]
[1.56825519 0.08606624 0.15558109],2,[1.47939716 0.13051869 0.28118501]
[1.47771077 0.12874032 0.27974426],2,[1.27872241 0.21941054 0.4999434 ]
[1.27009255 0.22515552 0.5088611 ],0,[1.14646067 0.27097437 0.57418337]
[1.14564809 0.27588623 0.58217798],0,[0.80169232 0.28536353 0.52121858]
[0.80582444 0.27955923 0.51327684],1,[0.61450265 0.33384154 0.67249816]
[0.80582444 0.27955923 0.51327684],1,[0.61691982 0.33434979 0.67440545]
[0.62257577 0.33294317 0.6678215 ],0,[0.44956031 0.32695667 0.67641089]
[0.62257577 0.33294317 0.6678215 ],0,[0.45030472 0.31986766 0.66265465]
[0.449509   0.31904018 0.65680189],1,[0.14750417 0.26101911 0.89987495]
[0.449509   0.31904018 0.65680189],1,[0.15423315 0.2514439  0.86249972]
[0.14348791 0.24371607 0.87834787],1,[-0.09846211  0.13465609  1.87227457]
